project_name, built_out, project_id, dpd, acres, dpa, taz, stat, prod, type, key, year_seq, year, amount
 WKK: LANIKEA,100,1,12,1497,1,126,C,H,3,1,1,1986,0
 WKK: LANIKEA,100,1,12,1497,1,126,C,H,3,1,2,2005,82
 WKK: LANIKEA,100,1,12,1497,1,126,C,H,3,1,3,2006,0
 WKK: LANIKEA,100,1,21,38,1,126,C,H,3,2,1,1986,0
 WKK: LANIKEA,100,1,21,38,1,126,C,H,3,2,2,2005,2
 WKK: LANIKEA,100,1,21,38,1,126,C,H,3,2,3,2006,0
 WKK: LANIKEA,100,1,31,302,1,126,C,H,3,3,1,1986,0
 WKK: LANIKEA,100,1,31,302,1,126,C,H,3,3,2,2005,16
 WKK: LANIKEA,100,1,31,302,1,126,C,H,3,3,3,2006,0
 WKK: WAIKIKI LANDMARK,196,2,30,2689,1,129,C,H,3,4,1,1986,0
 WKK: WAIKIKI LANDMARK,196,2,30,2689,1,129,C,H,3,4,2,1993,196
 WKK: WAIKIKI LANDMARK,196,2,30,2689,1,129,C,H,3,4,3,1994,0
 WKK: LOFT AT WAIKIKI,36,3,12,686,1,124,C,H,3,5,1,1986,0
 WKK: LOFT AT WAIKIKI,36,3,12,686,1,124,C,H,3,5,2,2008,36
 WKK: LOFT AT WAIKIKI,36,3,12,686,1,124,C,H,3,5,3,2009,0
 WKK: MAUKA OF ROYAL KUHIO,100,4,12,886,1,121,P,H,3,6,1,1986,0
 WKK: MAUKA OF ROYAL KUHIO,100,4,12,886,1,121,P,H,3,6,2,2011,100
 WKK: MAUKA OF ROYAL KUHIO,100,4,12,886,1,121,P,H,3,6,3,2012,0
 WKK: WATERMARK WAIKIKI,212,5,13,7177,1,131,C,H,3,7,1,1986,0
 WKK: WATERMARK WAIKIKI,212,5,13,7177,1,131,C,H,3,7,2,2009,212
 WKK: WATERMARK WAIKIKI,212,5,13,7177,1,131,C,H,3,7,3,2010,0
 WKK: ALA WAI GARDEN PLAZA,44,6,12,545,1,126,P,H,3,8,1,1998,0
 WKK: ALA WAI GARDEN PLAZA,44,6,12,545,1,126,P,H,3,8,2,2010,44
 WKK: ALA WAI GARDEN PLAZA,44,6,12,545,1,126,P,H,3,8,3,2011,0
 WKK: THE COVE WAIKIKI,119,7,13,1809,1,131,P,H,3,9,1,1986,0
 WKK: THE COVE WAIKIKI,119,7,13,1809,1,131,P,H,3,9,2,2011,119
 WKK: THE COVE WAIKIKI,119,7,13,1809,1,131,P,H,3,9,3,2012,0
 WKK: ALLURE WAIKIKI,300,8,30,2152,1,130,C,H,3,10,1,1986,0
 WKK: ALLURE WAIKIKI,300,8,30,2152,1,130,C,H,3,10,2,2010,300
 WKK: ALLURE WAIKIKI,300,8,30,2152,1,130,C,H,3,10,3,2011,0
 WKK: WORLD GYM,50,9,3,654,1,130,P,H,3,11,1,1986,0
 WKK: WORLD GYM,50,9,3,654,1,130,P,H,3,11,2,2011,50
 WKK: WORLD GYM,50,9,3,654,1,130,P,H,3,11,3,2012,0
 WKK:AINAHAU VISTA,107,10,12,820,1,115,C,H,3,12,1,1986,0
 WKK:AINAHAU VISTA,107,10,12,820,1,115,C,H,3,12,2,2010,107
 WKK:AINAHAU VISTA,107,10,12,820,1,115,C,H,3,12,3,2011,0
 WKK: KALIA TOWER (HILTON) EXPANS,0,11,21,2078,1,133,C,V,1,13,1,1986,0
 WKK: KALIA TOWER (HILTON) EXPANS,0,11,21,2078,1,133,C,V,1,13,2,2001,453
 WKK: KALIA TOWER (HILTON) EXPANS,0,11,21,2078,1,133,C,V,1,13,3,2002,0
 WKK: HILTON APT CONVERSION,0,12,21,1607,1,133,C,V,1,14,1,1986,0
 WKK: HILTON APT CONVERSION,0,12,21,1607,1,133,C,V,1,14,2,2001,235
 WKK: HILTON APT CONVERSION,0,12,21,1607,1,133,C,V,1,14,3,2002,0
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,V,2,15,1,1998,0
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,V,2,15,2,2009,350
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,V,2,15,3,2010,0
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,E,3,16,1,1998,0
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,E,3,16,2,2009,168
 WKK: GRAND WAIKIKIAN TOWER,0,13,21,1895,1,133,C,E,3,16,3,2010,0
 WKK: HALE KOA EXPANSION,0,14,21,7240,1,134,C,V,1,17,1,1986,0
 WKK: HALE KOA EXPANSION,0,14,21,7240,1,134,C,V,1,17,2,1995,198
 WKK: HALE KOA EXPANSION,0,14,21,7240,1,134,C,V,1,17,3,1997,0
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,1,1998,0
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,2,2005,-1162
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,3,2006,-229
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,4,2007,222
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,5,2008,0
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,6,2009,614
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,V,1,18,7,2010,0
 WKK: WAIKIKI BEACHWALK,0,15,21,4208,1,135,C,E,3,19,1,1998,0
